,user_id,hour,os,order_class,surge,app_opened,price_seen,order_made,ride_completed,user_cancelled,city_center_order,distance,age,rfm
0,867689,12,iOS,business,no surge,1,1,1,1,0,0,7.9821347832369,20,low
1,752172,5,Android,economy,no surge,1,1,1,1,0,1,2.9084683885343563,27,high
2,486559,15,Android,comfort,no surge,1,1,1,1,0,0,7.224614166059728,21,high
3,304024,0,Android,economy,no surge,1,1,1,1,0,1,1.8743487654875923,52,low
4,139420,0,Android,business,no surge,1,1,1,1,0,0,10.704778233857066,19,low
5,139455,5,Android,comfort,,1,0,0,0,0,1,,24,high
6,416988,0,iOS,comfort,no surge,1,1,0,0,0,1,7.535724604247933,24,high
7,682337,2,Android,comfort,no surge,1,1,1,1,0,1,9.055344128953179,21,low
8,931492,20,iOS,economy,,1,0,0,0,0,0,,25,low
9,662775,17,Android,comfort,surge,1,1,1,1,0,1,4.828325526672754,36,low
10,464055,20,iOS,comfort,surge,1,1,1,1,0,0,3.647096997479932,25,high
11,370093,12,Android,economy,no surge,1,1,1,1,0,0,4.273224269885287,27,low
12,811050,4,Android,economy,,1,0,0,0,0,0,,27,high
13,786923,23,Android,comfort,no surge,1,1,0,0,0,1,0.704415005787307,21,low
14,382672,2,iOS,comfort,no surge,1,1,1,1,0,0,8.669201573212904,18,high
15,893154,6,iOS,economy,no surge,1,1,1,1,0,0,3.5631278018818056,29,high
16,990097,2,Android,economy,no surge,1,1,1,1,0,1,5.766969984678804,28,low
17,621723,13,Android,economy,,1,0,0,0,0,1,,25,low
18,393096,23,Android,comfort,surge,1,1,0,0,0,1,2.523357072589751,19,high
19,320419,3,Android,comfort,no surge,1,1,1,1,0,1,5.545118622276381,22,low
20,877152,22,iOS,comfort,no surge,1,1,1,1,0,1,13.076742102949495,27,low
21,103860,13,iOS,economy,surge,1,1,1,1,0,1,7.93400245640486,21,high
22,667749,5,Android,business,no surge,1,1,1,0,1,1,5.612631632761492,23,low
23,638064,21,Android,economy,,1,0,0,0,0,1,,44,low
24,461185,21,iOS,economy,surge,1,1,1,1,0,1,1.5902094453940685,29,high
25,327683,11,Android,comfort,no surge,1,1,0,0,0,1,2.481233846579359,30,low
26,824898,11,Android,economy,no surge,1,1,1,1,0,0,2.54409156847777,19,low
27,654038,18,Android,economy,no surge,1,1,1,0,1,0,7.47049934746066,21,high
28,902515,14,Android,economy,no surge,1,1,1,1,0,0,1.985884417003236,24,low
